chart_group_id,dashboard_path,sheet,measure,fuel_label,chart_file,section_id,section_label,entry_kind
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Gas_diesel_oil.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Gas/diesel oil,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Gas_diesel_oil.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Gasoline_type_jet_fuel.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Gasoline type jet fuel,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Gasoline_type_jet_fuel.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Heat.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Heat,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Heat.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Industrial_waste.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Industrial waste,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Industrial_waste.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Kerosene.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Kerosene,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Kerosene.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Kerosene_type_jet_fuel.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Kerosene type jet fuel,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Kerosene_type_jet_fuel.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__LPG.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),LPG,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__LPG.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Lignite.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Lignite,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Lignite.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Lubricants.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Lubricants,charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Lubricants.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Municipal solid waste (non-renewable),charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
chart::charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Municipal_solid_waste__renewable.html,Industry > Manufacturing > Chemical (incl. petrochemical),esto__14_03_02__Chemical__incl__petrochemical,Energy balance (PJ),Municipal solid waste (renewable),charts/esto__14_03_02__Chemical__incl__petrochemical__Energy_balance__PJ__Municipal_solid_waste__renewable.html,sec-Industry__Manufacturing__Chemical__incl__petrochemical,Chemical (incl. petrochemical),direct
